config1,config2,val
xterm-00016,ixterm-00020-00016,True
xterm-00017,ixterm-00001-00017,True
xterm-00017,ixterm-00002-00017,True
xterm-00017,ixterm-00003-00017,True
xterm-00017,ixterm-00004-00017,True
xterm-00017,ixterm-00005-00017,True
xterm-00017,ixterm-00006-00017,True
xterm-00017,ixterm-00007-00017,True
xterm-00017,ixterm-00008-00017,True
xterm-00017,ixterm-00009-00017,True
xterm-00017,ixterm-00010-00017,True
xterm-00017,ixterm-00011-00017,True
xterm-00017,ixterm-00012-00017,True
xterm-00017,ixterm-00013-00017,True
xterm-00017,ixterm-00014-00017,True
xterm-00017,ixterm-00015-00017,True
xterm-00017,ixterm-00016-00017,True
xterm-00017,ixterm-00018-00017,True
xterm-00017,ixterm-00019-00017,True
xterm-00017,ixterm-00020-00017,True
xterm-00018,ixterm-00001-00018,True
xterm-00018,ixterm-00002-00018,True
xterm-00018,ixterm-00003-00018,True
xterm-00018,ixterm-00004-00018,True
xterm-00018,ixterm-00005-00018,True
xterm-00018,ixterm-00006-00018,True
xterm-00018,ixterm-00007-00018,True
xterm-00018,ixterm-00008-00018,True
xterm-00018,ixterm-00009-00018,True
xterm-00018,ixterm-00010-00018,True
xterm-00018,ixterm-00011-00018,True
xterm-00018,ixterm-00012-00018,True
xterm-00018,ixterm-00013-00018,True
xterm-00018,ixterm-00014-00018,True
xterm-00018,ixterm-00015-00018,True
xterm-00018,ixterm-00016-00018,True
xterm-00018,ixterm-00017-00018,True
xterm-00018,ixterm-00019-00018,True
xterm-00018,ixterm-00020-00018,True
xterm-00019,ixterm-00001-00019,True
xterm-00019,ixterm-00002-00019,True
xterm-00019,ixterm-00003-00019,True
xterm-00019,ixterm-00004-00019,True
xterm-00019,ixterm-00005-00019,True
xterm-00019,ixterm-00006-00019,True
xterm-00019,ixterm-00007-00019,True
xterm-00019,ixterm-00008-00019,True
xterm-00019,ixterm-00009-00019,True
xterm-00019,ixterm-00010-00019,True
xterm-00019,ixterm-00011-00019,True
xterm-00019,ixterm-00012-00019,True
